Index	FeatureMap	Pixel	Decimal	Binary
--------------------------------------------------------------------------------
0	0	0	-148	111101101100
1	0	1	67	000001000011
2	0	2	80	000001010000
3	0	3	146	000010010010
4	0	4	58	000000111010
5	0	5	114	000001110010
6	0	6	106	000001101010
7	0	7	-6	111111111010
8	0	8	9	000000001001
9	0	9	164	000010100100
10	0	10	-27	111111100101
11	0	11	123	000001111011
12	0	12	19	000000010011
13	0	13	59	000000111011
14	0	14	75	000001001011
15	0	15	-11	111111110101
16	0	16	161	000010100001
17	0	17	44	000000101100
18	0	18	156	000010011100
19	0	19	215	000011010111
20	0	20	2	000000000010
21	0	21	-88	111110101000
22	0	22	127	000001111111
23	0	23	13	000000001101
24	0	24	422	000110100110
25	0	25	196	000011000100
26	0	26	137	000010001001
27	0	27	34	000000100010
28	0	28	140	000010001100
29	0	29	193	000011000001
30	0	30	78	000001001110
31	0	31	195	000011000011
32	0	32	83	000001010011
33	0	33	-179	111101001101
34	0	34	200	000011001000
35	0	35	25	000000011001
36	0	36	69	000001000101
37	0	37	21	000000010101
38	0	38	38	000000100110
39	0	39	44	000000101100
40	0	40	-150	111101101010
41	0	41	201	000011001001
42	0	42	286	000100011110
43	0	43	397	000110001101
44	0	44	134	000010000110
45	0	45	76	000001001100
46	0	46	13	000000001101
47	0	47	120	000001111000
48	0	48	230	000011100110
49	1	0	-129	111101111111
50	1	1	177	000010110001
51	1	2	-20	111111101100
52	1	3	-65	111110111111
53	1	4	-92	111110100100
54	1	5	-200	111100111000
55	1	6	496	000111110000
56	1	7	6	000000000110
57	1	8	11	000000001011
58	1	9	4	000000000100
59	1	10	-98	111110011110
60	1	11	20	000000010100
61	1	12	-73	111110110111
62	1	13	112	000001110000
63	1	14	32	000000100000
64	1	15	40	000000101000
65	1	16	39	000000100111
66	1	17	-48	111111010000
67	1	18	-128	111110000000
68	1	19	-73	111110110111
69	1	20	38	000000100110
70	1	21	-67	111110111101
71	1	22	-68	111110111100
72	1	23	-61	111111000011
73	1	24	-89	111110100111
74	1	25	-95	111110100001
75	1	26	-97	111110011111
76	1	27	-118	111110001010
77	1	28	-85	111110101011
78	1	29	-57	111111000111
79	1	30	42	000000101010
80	1	31	44	000000101100
81	1	32	64	000001000000
82	1	33	-47	111111010001
83	1	34	-83	111110101101
84	1	35	-272	111011110000
85	1	36	-131	111101111101
86	1	37	-149	111101101011
87	1	38	103	000001100111
88	1	39	117	000001110101
89	1	40	35	000000100011
90	1	41	18	000000010010
91	1	42	-198	111100111010
92	1	43	-99	111110011101
93	1	44	97	000001100001
94	1	45	26	000000011010
95	1	46	15	000000001111
96	1	47	5	000000000101
97	1	48	125	000001111101
